unitName,Exercise,Description,Difficulties,Count,Set,secondPerCount
Preacher Curl Slate,"Preacher Curls, Hammer Curls, Concentration Curls, Isolation Curls, Reverse Curls","Perform preacher curl exercises., Engage in hammer curl workouts., Utilize the slate for concentration curls., Perform isolation curl exercises., Engage in reverse curl workouts.","3, 2, 3, 2, 2","12, 12, 12, 12, 12","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Leg Extension,"Leg Extensions, Single-Leg Extensions, Quad Isolation, Leg Press Variations, Knee Extension Exercises","Perform leg extension exercises., Engage in single-leg extension workouts., Utilize machine for quad isolation exercises., Perform various leg press variations., Engage in knee extension exercises.","2, 2, 3, 3, 3","12, 10, 12, 10, 12","3, 3, 3, 3, 3","2, 3, 2, 3, 2"
Leg Curl,"Leg Curls, Single-Leg Curls, Seated Leg Curls, Hamstring Isolation, Knee Flexion Exercises","Perform leg curl exercises., Engage in single-leg curl workouts., Utilize machine for seated leg curls., Perform hamstring isolation exercises., Engage in knee flexion exercises.","2, 3, 2, 3, 3","12, 10, 12, 10, 12","3, 3, 3, 3, 3","2, 3, 2, 3, 2"
Rotary Torso,"Torso Rotations, Oblique Twists, Core Strengthening, Abdominal Twist, Torso Flexibility","Perform rotary torso exercises on the machine., Engage in oblique-focused twists., Utilize the machine for core strengthening workouts., Perform abdominal twists using the machine., Work on torso flexibility exercises.","2, 2, 2, 2, 2","15, 12, 12, 15, 10","4, 3, 3, 4, 3","2, 3, 2, 2, 3"
Triceps Extension,"Triceps Extensions, Overhead Triceps Extension, Rope Triceps Pushdowns, Triceps Kickbacks, Close Grip Bench Press","Perform triceps extension exercises., Engage in overhead triceps extension workouts., Utilize machine for rope triceps pushdowns., Perform triceps kickback exercises., Engage in close grip bench press exercises.","3, 3, 3, 2, 3","12, 10, 12, 15, 10","3, 3, 3, 4, 3","2, 2, 2, 2, 2"
Lateral Raise,"Lateral Raises, Front Raises, Shoulder Isolation, Shoulder Mobility, Deltoid Strengthening","Perform lateral raise exercises., Engage in front raise workouts., Utilize the machine for shoulder isolation exercises., Work on shoulder mobility exercises., Perform exercises to strengthen deltoid muscles.","2, 2, 2, 2, 2","12, 12, 10, 15, 10","3, 3, 3, 4, 3","2, 2, 2, 2, 2"
Lat Pulldown,"Lat Pulldowns, Reverse Grip Pulldowns, Close Grip Pulldowns, Wide Grip Pulldowns, Cable Rows","Perform lat pulldown exercises., Engage in reverse grip pulldown workouts., Utilize the machine for close grip pulldowns., Perform wide grip pulldown exercises., Engage in cable row workouts.","3, 3, 3, 3, 3","12, 12, 12, 12, 10","3, 3, 3, 3, 3","2, 2, 2, 2, 3"
Shoulder Press,"Shoulder Press, Seated Shoulder Press, Military Press, Arnold Press, Dumbbell Shoulder Press","Perform shoulder press exercises., Engage in seated shoulder press workouts., Utilize the machine for military press exercises., Perform Arnold press exercises., Engage in dumbbell shoulder press exercises.","3, 3, 3, 3, 3","10, 10, 10, 10, 10","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Booty Builder 7,"Glute Exercises, Hip Thrusts, Leg Press Variations, Squatting Movements, Hip Abduction/Adduction","Perform glute-focused exercises., Engage in hip thrust workouts., Utilize the machine for leg press variations., Perform squatting movements using the machine., Work on hip abduction and adduction exercises.","3, 3, 3, 3, 3","12, 10, 10, 12, 12","3, 3, 3, 3, 3","2, 3, 2, 2, 3"
Multi-Purpose Squat Rack,"Squats, Deadlifts, Overhead Press, Pull-Ups/Chin-Ups, Barbell Rows","Perform squats using the squat rack., Engage in deadlift exercises., Utilize the rack for overhead press workouts., Perform pull-ups or chin-ups using the rack., Engage in barbell row exercises.","3, 4, 4, 4, 4","10, 8, 8, 8, 8","3, 3, 3, 3, 3","3, 3, 3, 3, 3"
Large Dumbbell Rack,"Dumbbell Exercises, Dumbbell Press, Dumbbell Rows, Dumbbell Curls, Dumbbell Lunges","Perform various exercises using dumbbells., Engage in dumbbell press workouts., Utilize dumbbells for rowing exercises., Perform bicep curls using dumbbells., Engage in lunges using dumbbells.","3, 3, 3, 3, 3","12, 10, 12, 12, 10","3, 3, 3, 3, 3","2, 3, 2, 2, 3"
Vertical Dumbbell Rack,"Dumbbell Exercises, Dumbbell Press, Dumbbell Rows, Dumbbell Curls, Dumbbell Lunges","Perform various exercises using dumbbells., Engage in dumbbell press workouts., Utilize dumbbells for rowing exercises., Perform bicep curls using dumbbells., Engage in lunges using dumbbells.","3, 3, 3, 3, 3","12, 10, 10, 12, 12","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Free Standing Space Saving Modular Rig,"Pull-Ups/Chin-Ups, Barbell Squats, Suspension Training, Leg Raises, Dips","Perform pull-ups or chin-ups using the rig., Engage in squats using the rig., Utilize the rig for suspension-based workouts., Perform leg raise exercises with the rig., Engage in dip exercises using the rig.","4, 4, 3, 3, 3","10, 8, 15, 12, 12","3, 3, 4, 3, 4","2, 3, 2, 2, 2"
precor multu gym s3.45-upper body,"Chest Press, Shoulder Press, Pec Deck, Lat Pulldowns, Bicep Curls","Perform chest press exercises., Engage in shoulder press workouts., Utilize the machine for pec deck exercises., Perform lat pulldown exercises., Engage in bicep curl exercises.","3, 3, 2, 3, 2","10, 10, 12, 10, 12","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
precor multu gym s3.45-lower body,"Leg Press, Hamstring Curls, Calf Raises, Leg Extensions, Glute Exercises","Perform leg press exercises., Engage in hamstring curl workouts., Utilize the machine for calf raise exercises., Perform leg extension exercises., Engage in exercises targeting glute muscles.","3, 2, 2, 2, 3","10, 12, 15, 12, 10","3, 3, 4, 3, 3","2, 2, 1, 2, 2"
precor multu gym s3.45-back and core,"Seated Rows, Back Extensions, Abdominal Crunches, Oblique Twists, Hyperextensions","Perform seated row exercises., Engage in back extension workouts., Utilize the machine for abdominal crunches., Perform oblique-focused twists., Engage in hyperextension exercises.","3, 2, 2, 2, 3","10, 12, 15, 12, 12","3, 3, 4, 3, 3","2, 2, 2, 2, 3"
Chin/Dip Assist,"Assisted Pull-Ups/Chin-Ups, Assisted Dips, Vertical Knee Raises, Tricep Dips, Leg Raise Assistance","Perform assisted pull-ups or chin-ups., Engage in assisted dip exercises., Utilize the machine for vertical knee raises., Perform tricep dip exercises., Assisted leg raise exercises.","3, 3, 4, 4, 4","12, 12, 15, 12, 15","2, 2, 2, 2, 4","2, 2, 2, 2, 2"
Incline Chest Press,"Incline Bench Press, Chest Flyes, Upper Chest Isolation, Push-Up Assistance, Chest Strengthening","Perform incline bench press exercises., Engage in chest fly exercises., Utilize the machine for upper chest isolation., Assisted push-up exercises., Work on chest strengthening exercises.","3, 2, 2, 2, 2","10, 12, 12, 15, 12","3, 3, 3, 4, 3","2, 2, 2, 1, 2"
Seated Row,"Seated Rows, Low Row, One-Arm Rows, Mid-Back Strengthening, Upper Back Isolation","Perform seated row exercises., Engage in low row workouts., Utilize the machine for one-arm row exercises., Work on mid-back strengthening exercises., Isolation exercises for upper back muscles.","3, 3, 3, 3, 3","10, 12, 12, 10, 12","3, 4, 4, 3, 4","2, 2, 2, 2, 2"
Incline Lever Row,"Incline Lever Rows, Rowing Movements, Upper Back Strengthening, Back Isolation, Leverage Rowing","Perform incline lever row exercises., Engage in rowing-style movements., Utilize the machine for upper back strengthening., Isolation exercises for back muscles., Leverage-based rowing exercises.","3, 3, 3, 3, 3","10, 15, 12, 12, 10","3, 3, 3, 4, 3","2, 2, 2, 2, 2"
Puzzle Mat,"Floor Exercises, Yoga and Stretching, Core Workouts, Bodyweight Movements, Plyometric Drills","Perform various floor exercises on the mat., Engage in yoga or stretching routines., Utilize the mat for core-focused exercises., Perform bodyweight exercises on the mat., Plyometric exercises on the mat.","2, 2, 2, 2, 2","15, 8, 20, 15, 10","3, 3, 4, 3, 3","1, 1, 2, 2, 3"
Barbell Lifter,"Barbell Exercises, Deadlifts, Barbell Squats, Barbell Rows, Barbell Press","Perform various exercises using the barbell., Engage in deadlift exercises., Utilize the barbell for squat exercises., Perform barbell row exercises., Shoulder press exercises using the barbell.","2, 4, 3, 4, 4","8, 8, 10, 10, 10","3, 3, 3, 3, 3","3, 3, 2, 2, 2"
